,,,,,,,,,,,          ,,,
124,보조기기,컴퓨터,GWAT-21-CA-01-1,안구마우스(TM5mini),2021년 12월 10일,"6,900,000",구입,윌비,상담실,폐기대상아님,정상,"1. 본체
2. 거치대 
3.충전케이블
4. 마우스피스/고정걸이
(배사브라켓, 마그넥틱 브라켓)",,
125,보조기기,컴퓨터,GWAT-21-CA-01-2,안구마우스(TM5mini),2021년 12월 10일,"6,900,000",구입,윌비,상담실,폐기대상아님,정상,"1. 본체
2. 거치대 
3.충전케이블
4. 마우스피스/고정걸이
(배사브라켓, 마그넥틱 브라켓)",,
126,보조기기,컴퓨터,GWAT-21-CA-02,안경마우스2-호흡스위치,2021년 12월 14일,"1,050,000",구입,(재)파라다이스복지재단,상담실,폐기대상아님,정상,"1. 안경마우스
2. 호흡스위치
3. 설명서
4. 충전케이블
5. 고정걸이",,
127,보조기기,감각,GWAT-21-S-06-1,메세지스톤,2021년 12월 17일,"1,550,000",구입,㈜터치스톤,2층 전시실 - S,폐기대상아님,정상,"1. 테블릿
 2. USB 케이블(C타입)
 3. deep voice","상태가 안좋음 
대여불가
deep voice가 없음. 
",
128,보조기기,감각,GWAT-21-S-06-2,메세지스톤,2021년 12월 17일,"1,550,000",구입,㈜터치스톤,,폐기대상아님,정상,,,
129,보조기기,감각,GWAT-21-S-07,센스원베이직,2021년 12월 20일,"2,500,000",구입,㈜엑스비전테크놀로지,,폐기대상아님,정상,"노트북, 충전기, 설명서",,
130,보조기기,감각,GWAT-21-S-08,소리안썬더,2021년 12월 21일,"3,780,000",구입,㈜어니스트비전,,폐기대상아님,정상,,,
131,보조기기,감각,GWAT-21-S-09-1,소리안탭 10.1,2021년 12월 21일,"2,700,000",구입,㈜어니스트비전,,폐기대상아님,정상,,,
132,보조기기,감각,GWAT-21-S-09-2,소리안탭 10.1,2021년 12월 21일,"2,700,000",구입,㈜어니스트비전,,폐기대상아님,정상,,,
133,보조기기,감각,GWAT-21-S-02-3,"휴대용독서확대기
아이러뷰7",2021년 12월 21일,"1,180,000",구입,㈜씨앤피,,폐기대상아님,정상,,,
134,보조기기,감각,GWAT-21-S-10,노바캠리더,2021년 12월 21일,"3,600,000",구입,㈜엑스비전테크놀로지,"
",폐기대상아님,정상,"노바캠리더 필수 옵션
1. 노트북
2. 캠리더
3.usb 케이블 ",충전기x,
135,보조기기,의사소통,GWAT-23-S-01,드림폰2,2023년 8월 3일,"1,320,000",구입,㈜씨와이디정보기술,-,폐기대상아님,정상,-,지원 완료,-
136,보조기기,환경개조,GWAT-23-EC-01-1,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (블루투스)",2023년 9월 16일,"322,800",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
137,보조기기,환경개조,GWAT-23-EC-01-2,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (블루투스)",2023년 9월 16일,"322,800",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
138,보조기기,환경개조,GWAT-23-EC-01-3,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (블루투스)",2023년 9월 16일,"322,800",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
139,보조기기,환경개조,GWAT-23-EC-01-4,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (블루투스)",2023년 9월 16일,"322,800",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
140,보조기기,환경개조,GWAT-23-EC-01-5,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (블루투스)",2023년 9월 16일,"322,800",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
141,보조기기,환경개조,GWAT-23-EC-01-6,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (블루투스)",2023년 9월 16일,"322,800",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
142,보조기기,환경개조,GWAT-23-EC-01-7,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (블루투스)",2023년 9월 16일,"322,800",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
143,보조기기,환경개조,GWAT-23-EC-01-8,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (블루투스)",2023년 9월 16일,"322,800",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
144,보조기기,환경개조,GWAT-23-EC-01-9,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (블루투스)",2023년 9월 16일,"322,800",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
145,보조기기,환경개조,GWAT-23-EC-01-10,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
146,보조기기,환경개조,GWAT-23-EC-01-11,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
147,보조기기,환경개조,GWAT-23-EC-01-12,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
148,보조기기,환경개조,GWAT-23-EC-01-13,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
149,보조기기,환경개조,GWAT-23-EC-01-14,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
150,보조기기,환경개조,GWAT-23-EC-01-15,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
151,보조기기,환경개조,GWAT-23-EC-01-16,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
152,보조기기,환경개조,GWAT-23-EC-01-17,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
153,보조기기,환경개조,GWAT-23-EC-01-18,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
154,보조기기,환경개조,GWAT-23-EC-01-19,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
155,보조기기,환경개조,GWAT-23-EC-01-20,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
156,보조기기,환경개조,GWAT-23-EC-01-21,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
157,보조기기,환경개조,GWAT-23-EC-01-22,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
158,보조기기,환경개조,GWAT-23-EC-01-23,"디지털도어락 푸시풀 형
 솔리티 SP6000
 (리모컨)",2023년 9월 16일,"308,200",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
159,보조기기,환경개조,GWAT-23-EC-02-1,"디지털도어락 보조키형
 솔리티 R60
 (블루투스)",2023년 9월 16일,"260,000",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
160,보조기기,환경개조,GWAT-23-EC-02-2,"디지털도어락 보조키형
 솔리티 R60
 (블루투스)",2023년 9월 16일,"260,000",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
161,보조기기,환경개조,GWAT-23-EC-02-3,"디지털도어락 보조키형
 솔리티 R60
 (블루투스)",2023년 9월 16일,"260,000",구입,지원엠에스,-,폐기대상아님,정상,-,지원 완료,-
162,보조기기,감각,GWAT-24-S-01,하닉스 하이본 골전도 청음기,2024년 7월 23일,"693,000",구입,다 온,2층 전시실 - S,폐기대상아님,정상,"1. 골전도 청음기 본체&스테레오 이어폰
2. 휴대폰/MP3/라디오 연결케이블
3. 충전기
4. 목걸이
",,
163,보조기기,감각,GWAT-24-S-02,다자간HD 스마트영상전화기,2024년 7월 24일,"1,820,000",구입,다 온,2층 전시실 - S,폐기대상아님,정상,"1. 커메라
2. 모니터
3. 키패드
4.키보드
5. 경광등
",,
164,보조기기,자세유지,GWAT-24-SP-16,기립훈련기,2024년 7월 23일,"1,850,000",구입,다 온,상담실,폐기대상아님,정상,본체,,
165,보조기기,일상생활, GWAT-24-ADL-01,앵커 목욕의자 - M,2024년 7월 24일,"630,000",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
166,보조기기,일상생활, GWAT-24-ADL-02,목욕의자-CM5178,2024년 7월 24일,"790,000",구입,다 온,,폐기대상아님,정상,본체,대여상태,
167,보조기기,환경개조, GWAT-24-EC-01,"휴대용 경사로
 (슈트케이스싱글폴드AS) 
SFAS06",2024년 7월 24일,"700,000",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
168,보조기기,이동,GWAT-24-WC-01,워커 CK-07,2024년 7월 24일,"60,000",구입,다 온,2층 전시실 - WC ,폐기대상아님,정상,본체,,
169,보조기기,이동,GWAT-24-WC-02,"보행차-CA8860L
",2024년 7월 24일,"175,000",구입,다 온,2층 전시실 - WC ,폐기대상아님,정상,본체,,
170,보조기기,이동,GWAT-24-WC-03,실내용 보행차-AWT-501,2024년 7월 24일,"405,000",구입,다 온,2층 전시실 - WC ,폐기대상아님,정상,본체,,
171,보조기기,이동,GWAT-24-WC-04,보행차-KCS-303,2024년 7월 24일,"175,000",구입,다 온,2층 전시실 - WC ,폐기대상아님,정상,본체,,
172,보조기기,환경개조, GWAT-24-EC-02,양변기용 안전손잡이 - YGM03,2024년 7월 24일,"145,000",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
173,보조기기,환경개조, GWAT-24-EC-03,양변기용 안전손잡이 - 케어핸들-2,2024년 7월 24일,"175,000",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
174,보조기기,일상생활, GWAT-24-ADL-03,이동변기-APT-210,2024년 7월 24일,"198,000",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
175,보조기기,환경개조, GWAT-24-EC-04,삶의 질 향상 패키지,2024년 7월 24일,"79,600",구입,다 온,2층 전시실 - EC,폐기대상아님,정상,본체,,
176,보조기기,환경개조, GWAT-24-EC-05,스위치봇 전동커튼 ver.3 - 레일형(U레일),2024년 7월 24일,"158,000",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
177,보조기기,환경개조, GWAT-24-EC-06,안전손잡이-SFB-02,2024년 7월 24일,"35,900",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
178,보조기기,환경개조, GWAT-24-EC-07,안전손잡이-SFB-04,2024년 7월 24일,"40,300",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
179,보조기기,환경개조, GWAT-24-EC-08,부착식 안전손잡이-NSBS-LS4475,2024년 7월 24일,"76,600",구입,다 온,2층 전시실 - ADL (수납장),폐기대상아님,정상,본체,,
180,보조기기,환경개조, GWAT-24-EC-09,미끄럼방지매트-AFM-02,2024년 7월 24일,"41,300",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
181,보조기기,환경개조, GWAT-24-EC-10,미끄럼방지매트 - HM-403,2024년 7월 24일,"36,500",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
182,보조기기,일상생활, GWAT-24-ADL-04,전동휠체어 우의,2024년 7월 24일,"86,900",구입,다 온,,폐기대상아님,정상,,대여 상태 ,
183,보조기기,일상생활, GWAT-24-ADL-05,전동 휠체어용 발열담요,2024년 7월 24일,"240,000",구입,다 온,2층 전시실 - ADL (수납장),폐기대상아님,정상,본체,,
184,보조기기,일상생활, GWAT-24-ADL-06,휠체어용 풋워머,2024년 7월 24일,"33,000",구입,다 온,2층 전시실 - ADL (수납장),폐기대상아님,정상,본체,,
185,보조기기,일상생활, GWAT-24-ADL-07,휠체어 팔고정 벨트,2024년 7월 24일,"19,000",구입,다 온,2층 전시실 - SP,폐기대상아님,정상,본체,,
186,보조기기,일상생활, GWAT-24-ADL-08,휠체어 다리고정 벨트,2024년 7월 24일,"59,000",구입,다 온,2층 전시실 - SP,폐기대상아님,정상,본체,,
187,보조기기,일상생활, GWAT-24-ADL-09,휠체어 안전벨트,2024년 7월 24일,"45,000",구입,다 온,2층 전시실 - SP,폐기대상아님,정상,본체,,
188,보조기기,일상생활, GWAT-24-ADL-10,성인용휠체어 체간 고정벨트,2024년 7월 24일,"100,000",구입,다 온,2층 전시실 - SP,폐기대상아님,정상,본체,,
189,보조기기,일상생활, GWAT-24-ADL-11,바디서포트(대형)-2단,2024년 7월 24일,"210,000",구입,다 온,2층 전시실 -sp,폐기대상아님,정상,본체,,
190,보조기기,일상생활, GWAT-24-ADL-12,휠체어 우산 거치대,2024년 7월 24일,"120,000",구입,다 온,상담실,폐기대상아님,정상,본체,위치 한번 더 확인,
191,보조기기,일상생활, GWAT-24-ADL-13,"램마운트 거치대 스마트폰
 (RAM-B-400-UN7-C)
 집게 B볼, 긴암 엑스그립",2024년 7월 24일,"105,000",구입,다 온,상담실,폐기대상아님,정상,본체,,
192,보조기기,일상생활, GWAT-24-ADL-14,무선낙상방지시스템,2024년 7월 24일,"1,320,000",구입,다 온,상담실,폐기대상아님,정상,본체,,
193,보조기기,환경개조, GWAT-24-EC-11,에렉투스 우드베니어 리낙 듀얼모터 전동 높이조절 책상 모션데스크,2024년 7월 24일,"963,600",구입,다 온,상담실,폐기대상아님,정상,본체,,
194,보조기기,일상생활, GWAT-24-ADL-15,"
욕창방지용 방석
NSBS-4WAY88",2024년 7월 24일,"278,000",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
195,보조기기,일상생활, GWAT-24-ADL-16,"욕창방지용 방석
 스타락(STAR LOCK)방석",2024년 7월 24일,"450,000",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
196,보조기기,감각,GWAT-24-S-03,"영상확대기
캔디6",2024년 7월 25일,"990,000",구입,다 온,2층 전시실 - S,폐기대상아님,정상,"1. 캔디6 본체
2. 거치대
3. 충전기 ",,
197,보조기기,감각,GWAT-24-S-04,"녹음 및 재생장치
3STAR 2",2024년 7월 26일,"880,000",구입,다 온,2층 전시실 - S,폐기대상아님,정상,본체,,
198,보조기기,감각,GWAT-24-S-05,책마루3,2024년 7월 27일,"1,200,000",구입,다 온,2층 전시실 - S,폐기대상아님,정상,"1. 본체
2. 충전기
3. 거치대",,
199,보조기기,감각,GWAT-24-S-06,리보 3S,2024년 7월 28일,"980,000",구입,다 온,2층 전시실 - S,폐기대상아님,정상,"1. 본체
2. 충전기",,
200,보조기기,감각,GWAT-24-S-07,스마트신호기,2024년 7월 29일,"480,000",구입,다 온,2층 전시실 - S,폐기대상아님,정상,"1. 호출기
2. 신호알람기 ",신호알람기 X,
201,보조기기,일상생활,GWAT-24-ADL-21,비지 오리지날,2024년 7월 24일,"588,000",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
202,보조기기,일상생활, GWAT-24-ADL-17,슬라이딩 시트,2024년 7월 24일,"50,000",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
203,보조기기,환경개조, GWAT-24-EC-12,테누라 미끄럼방지 손잡이,2024년 7월 24일,"33,000",구입,다 온,2층 전시실 - ADL (수납장),폐기대상아님,정상,본체,,
204,보조기기,일상생활, GWAT-24-ADL-18,"테누라 미끄럼방지
 컵받침",2024년 7월 24일,"21,000",구입,다 온,2층 전시실 - ADL (수납장),폐기대상아님,정상,본체,수량 총 4개,
205,보조기기,자세유지,GWAT-24-SP-17,"GD NOVA PLUS FIX
 (지디 노바 플러스 픽스)",2024년 7월 23일,"1,315,300",구입,다 온,2층 전시실 - SP,폐기대상아님,정상,"1. 시트손상방지매트
2.백시트 오거라이저 
3. 밴톤발판
4. 넵업 헤드레스트",,
206,보조기기,감각,GWAT-24-S-08,"음성탁상시계
 (CL-6695)",2024년 7월 30일,"50,000",구입,다 온,2층 전시실 - S,폐기대상아님,정상,본체,,
207,보조기기,감각,GWAT-24-S-09,"음성손목시계
 (WQ6647B)",2024년 7월 31일,"40,000",구입,다 온,2층 전시실 - S,폐기대상아님,정상,본체,,
208,보조기기,감각,GWAT-24-S-10,"열쇠고리형 음성시계
 (EL-6686)",2024년 8월 1일,"40,000",구입,다 온,2층 전시실 - S,폐기대상아님,정상,본체,,
209,보조기기,컴퓨터,GWAT-24-CA-02,"골무트리
 포인터 마우스",2024년 7월 24일,"80,000",구입,다 온,2층 전시실 - CA,폐기대상아님,정상,본체,,
210,보조기기,컴퓨터,GWAT-24-CA-03-1,히치2 인터페이스,2024년 7월 24일,"230,000",구입,다 온,2층 전시실 - CA,폐기대상아님,정상,본체,,
211,보조기기,컴퓨터,GWAT-24-CA-03-2,히치2 인터페이스,2024년 7월 24일,"230,000",구입,다 온,2층 전시실 - CA,폐기대상아님,정상,본체,,
212,보조기기,컴퓨터,GWAT-24-CA-04,"마이크로
 라이트 스위치",2024년 7월 24일,"185,000",구입,다 온,2층 전시실 - CA,폐기대상아님,정상,본체,,
213,보조기기,컴퓨터,GWAT-24-CA-05-1,빅레드 스위치,2024년 7월 24일,"125,000",구입,다 온,2층 전시실 - CA,폐기대상아님,정상,본체,,
214,보조기기,컴퓨터,GWAT-24-CA-05-2,빅레드 스위치,2024년 7월 24일,"125,000",구입,다 온,2층 전시실 - CA,폐기대상아님,정상,본체,,
215,보조기기,컴퓨터,GWAT-24-CA-06-1,젤리빈 스위치,2024년 7월 24일,"125,000",구입,다 온,2층 전시실 - CA,폐기대상아님,정상,본체,,
216,보조기기,컴퓨터,GWAT-24-CA-06-2,젤리빈 스위치,2024년 7월 24일,"125,000",구입,다 온,2층 전시실 - CA,폐기대상아님,정상,본체,,
217,보조기기,컴퓨터,GWAT-24-CA-07-1,글리터 검볼스위치,2024년 7월 24일,"130,000",구입,다 온,2층 전시실 - CA,폐기대상아님,정상,본체,,
218,보조기기,컴퓨터,GWAT-24-CA-07-2,글리터 검볼스위치,2024년 7월 24일,"130,000",구입,다 온,2층 전시실 - CA,폐기대상아님,정상,본체,,
219,보조기기,환경개조, GWAT-24-EC-13,"음성인식 스위치
 (3Way)",2024년 7월 24일,"134,000",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
220,보조기기,일상생활, GWAT-24-ADL-19,"목욕의자
 (보필9)",2024년 7월 24일,"145,000",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
221,보조기기,일상생활, GWAT-24-ADL-20,"목욕의자
 (ASC-102)",2024년 7월 24일,"155,000",구입,다 온,2층 전시실 - ADL,폐기대상아님,정상,본체,,
222,보조기기,운전,GWAT-25-SP-01,캐롯카시트CARROT 3 (검정색),2025년 8월 26일,"2,300,000",구입,강원 T.O.M,상담실 앞 창고 ,폐기대상아님,정상,본체,,
223,보조기기,자세유지,GWAT-25-SP-02,그래비티 체어 (대),2025년 8월 26일,"1,600,000",구입,강원 T.O.M,2층 전시실 - SP,폐기대상아님,정상,본체,,
224,보조기기,자세유지,GWAT-25-SP-03,"L-v 전방/프론 스탠더 (전동/중, 검정) ",2025년 8월 26일,"1,720,000",구입,강원 T.O.M,2층 전시실 밖 - WC,폐기대상아님,정상,본체,,
225,보조기기,자세유지,GWAT-25-SP-04,"코지듀얼스탠더-전동형 (중, 검정)
[전후방기립훈련기]",2025년 8월 26일,"2,300,000",구입,강원 T.O.M,상담실 앞 창고 ,폐기대상아님,정상,"본체,랩보드(2개임,전방(1),후방(1)) ",,
226,보조기기,이동,GWAT-25-WC-01,"WRB 2 
( 사이즈L, 블랙, 프레임색상:그레이, 뒷바퀴 사이즈:8 )",2025년 8월 26일,"3,315,000",구입,강원 T.O.M,2층 전시실 밖 - WC,폐기대상아님,정상,"WRB 본체(헤더레스트, 가슴고정벨트)
, 차양막, 3점 벨트 
",,
227,보조기기,이동,GWAT-25-WC-02,"트랙 TRAK
(사이즈:14인치, 색상: 블루)",2025년 8월 26일,"2,490,000",구입,강원 T.O.M,2층 전시실 밖 - WC,폐기대상아님,정상,"본체 (2점벨트), 차양막",,
228,보조기기,이동,GWAT-25-WC-03,"미뇽-MIGNON틸트형
(사이즈:L, 색상:검정)",2025년 8월 26일,"2,700,000",구입,강원 T.O.M,2층 전시실 밖 - WC,폐기대상아님,정상,"미뇽 본체(가슴고정벨트)
, 차양막, 헤드레스트, 5점벨트",,
229,보조기기,이동,GWAT-25-WC-04,"코르지노 클래식
(사이즈: 34, 가슴지지벨트:소, 허벅지고정벨트:소)",2025년 8월 26일,"2,300,000",구입,강원 T.O.M,2층 전시실 밖 - WC,폐기대상아님,정상,"본체(5점식 벨트, 컴포트 사이드 프로텍션, 
차양막, 가슴고정벨트, 허벅지고정벨트,
휠체어용 가방)",,
230,보조기기,이동,GWAT-25-WC-05,제피르 ZEFIR,2025년 8월 26일,"2,200,000",구입,강원 T.O.M,2층 전시실 밖 - WC,폐기대상아님,정상,"본체(5점벨트, 그립바, 바구니, 
사이드 서포트, 헤드레스트, 차양막)",,
231,보조기기,이동,GWAT-25-WC-06,"예띠 YETI 
(색상: 그레이)",2025년 8월 26일,"2,390,000",구입,강원 T.O.M,2층 전시실 밖 - WC,폐기대상아님,정상,"예띠 본체 (차양막, 5점벨트, 그립바,
 내전방지봉, 바구니)",,
232,보조기기,이동,GWAT-25-WC-07,"Jr-2(20)아동용 휠체어
(좌폭:320mm, 색상: 핑크)",2025년 8월 26일,"688,000",구입,강원 T.O.M,2층 전시실 밖 - WC,폐기대상아님,정상,수동휠체어 본체,,
233,보조기기,이동,GWAT-25-WC-08,"Jr-2(20)아동용 휠체어
(좌폭:340mm, 색상: 블루)",2025년 8월 26일,"680,000",구입,강원 T.O.M,2층 전시실 밖 - WC,폐기대상아님,정상,수동휠체어 본체 ,,
234,보조기기,이동,GWAT-25-WC-09,"님보 후방지지워커
(사이즈: 아동용)",2025년 8월 26일,"300,000",구입,강원 T.O.M,2층 전시실 밖 - WC,폐기대상아님,정상,본체,,
235,보조기기,이동,GWAT-25-WC-10,"nova 노바 보행차 유아용 바퀴워커
(색상: 노란색)",2025년 8월 26일,"75,000",구입,강원 T.O.M,2층 전시실 밖 - WC,폐기대상아님,정상,본체,,
236,보조기기,감각,GWAT-25-S-01,보이스탭 PRO,2025년 8월 26일,"1,332,000",구입,강원 T.O.M,2층 전시실 - S,폐기대상아님,정상,"본체(갤럭시탭, 보이스탭프로앱
, 강화유리액정보호필름, usb충전선)",,
237,보조기기,감각,GWAT-25-S-02,마이토키노트,2025년 8월 26일,"3,300,000",구입,강원 T.O.M,2층 전시실-S,폐기대상아님,정상,"본체(마이토키노트, 노트북)",,
238,보조기기,감각,GWAT-25-S-03,모모야 모모 언어훈련 PAD,2025년 8월 26일,"1,020,000",구입,강원 T.O.M,2층 전시실 - S,폐기대상아님,정상,"본체(갤럭시탭, 모모야모모 책)",,
239,보조기기,감각,GWAT-25-S-04,"윌비 프록스토커 
(색상: 블루, 케이스:블랙백팩, 터치강도:표준터치)",2025년 8월 26일,"6,500,000",구입,강원 T.O.M,2층 전시실 - S,폐기대상아님,정상,"프록스토커, 그림카드, 블랙백팩",,
240,보조기기,일상생활,GWAT-25-ADL-01,"오터 목욕의자 
(사이즈:중)",2025년 8월 26일,"900,000",구입,강원 T.O.M,2층 전시실 - ADL,폐기대상아님,정상,"오터 본체, 구동형 받침대",,
241,보조기기,일상생활,GWAT-25-ADL-02,"My fit 통합감각조끼
(사이즈: M~L)",2025년 8월 26일,"910,000",구입,강원 T.O.M,2층 전시실 - S,폐기대상아님,정상,MY FIT 본체,,
242,보조기기,일상생활,GWAT-25-ADL-03,"My fit 통합감각조끼
(사이즈: 2XL~3XL)",2025년 8월 26일,"980,000",구입,강원 T.O.M,2층 전시실 - S,폐기대상아님,정상,MY FIT 본체,,
243,보조기기,자세유지,GWAT-25-SP-05,"토마토 피더시트
(싸이즈 2 / 그레이)",2025년 10월 30일,"1,740,000",구입,지원엠에스,지하 창고,폐기대상아님,정상 ,"토마토 피더시트 본체
5점 벨트 1개
스트랩 1개",,
244,보조기기,자세유지,GWAT-25-SP-06,"토마토 피더시트
 (싸이즈 2 / 그레이)",2025년 10월 30일,"1,740,000",구입,지원엠에스,지하 창고,폐기대상아님,정상 ,"토마토 피더시트 본체
5점 벨트 1개
스트랩 1개",,
245,보조기기,자세유지,GWAT-25-SP-07,"토마토 피더시트
 (싸이즈 3 / 그레이)",2025년 10월 30일,"1,870,000",구입,지원엠에스,지하 창고,폐기대상아님,정상 ,"토마토 피더시트 본체
5점 벨트 1개
스트랩 1개",,
246,보조기기,자세유지,GWAT-25-SP-08,"토마토 피더시트
 (싸이즈 3 / 그레이)",2025년 10월 30일,"1,870,000",구입,지원엠에스,지하 창고,폐기대상아님,정상 ,"토마토 피더시트 본체
5점 벨트 1개
스트랩 1개",,
247,보조기기,자세유지,GWAT-25-SP-09,"토마토 피더시트
 (싸이즈 4 / 그레이)",2025년 10월 30일,"2,150,000",구입,지원엠에스,지하 창고,폐기대상아님,정상 ,"토마토 피더시트 본체
5점 벨트 1개
스트랩 1개",,
248,보조기기,자세유지,GWAT-25-SP-10,"토마토 피더시트
 (싸이즈 4 / 그레이)",2025년 10월 30일,"2,150,000",구입,지원엠에스,지하 창고,폐기대상아님,정상 ,"토마토 피더시트 본체
5점 벨트 1개
스트랩 1개",,
249,보조기기,이동,GWAT-25-11,침대형 휠체어,2025년 10월 30일,"1,080,000",구입,지원엠에스,2층 전시실 밖 - WC,폐기대상아님,정상 ,본체,,
250,보조기기,이동,GWAT-25-12,가와무라사 침대형휠체어,2025년 10월 30일,"1,080,000",구입,지원엠에스,상담실,폐기대상아님,정상 ,본체,,