보조기기센터 사업 실적,,,,,,,,,,,,,,,,,,,,,,
,,,,,"단위 : 건, 명",,,○ 보조기기 상담(서비스 이용자 현황),,,,,,,,,,,,,,
사업내용,,,목표,실적,달성률,,,사업명,,합 계,,접수 정보(실인원),,서비스 제공 현황,,,,,,,,
"보조기기 상담 
및 정보제공 사업",보조기기 상담(연인원),,600,,0%,,,,,연인원,실인원,신규 이용자,기존 이용자,유선,내방,"방문
(출장)",,,,,,
,콜센터,,상시,34,-,,,,,,,(당해연도),(이전연도),,,,,,,,,
,"보조기기
체험지원",보조기기 사용 체험,30,0,0%,,,보조기기상담,,0,0,,,,,,,,,,,
,,체험 프로그램,상시,,-,,,,,,,,,,,,,,,,,
"보조기기 
맞춤형 지원사업",대여,,77,16,21%,,,○ 콜센터,,,,,,,,,,,,,,
,보조기기 맞춤 제작 지원,,100,25,25%,,,사업명,합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
,장애인보조기기 교부사업 맞춤형 평가지원,,상시,52,-,,,콜센터 ,34,14,14,6,,,,,,,,,,
"사후관리
지원사업",보조기기 소독 및 세척,,84,0,0%,,,,,,,,,,,,,,,,,
,보조기기  점검 및 수리,,15,0,0%,,,○ 사업별 세부 실적(서비스 관련 실적),,,,,,,,,,,,,,
,보조기기 재사용 지원,,9,3,33%,,,사업명,,합계,WC,ADL,S,SP,EC,CA,L,AAC,AM,실인원,연인원,
"교육 및
홍보사업",보조기기 이용자교육(명),,상시,0,-,,,보조기기 상담 및 정보제공사업,보조기기 사용체험,0,,,,,,,,,,,,
,전문인력 교육 등,,10,0,0%,,,보조기기 맞춤형 지원사업,대여,16,6,6,2,,,1,,1,,14,16,
,홍보,,22,10 ,45%,,,,보조기기 맞춤 제작 지원,25,13,10,,,2,,,,,24,25,4/23업데이트
기타사업,(사업명),,0,,-,,,,교부사업 맞춤형 평가지원,52,6,32,7,2,3,2,,,,38,52,
,(사업명),,0,,-,,,사후관리 지원사업,보조기기 소독 및 세척,0,,,,,,,,,,,,
,,,,,,,,,보조기기 점검 및 수리,0,,,,,,,,,,,,
,,,,,,,,,보조기기 재사용 지원,3,3,,,,,,,,,,,
 ,,,,,,,,보조기기 이용자교육,보조기기 안전교육,0,,,,,,,,,,,,
,,,,,,,,,보조기기 사용교육,0,,,,,,,,,,,,
,,,,,,,,,보조기기 관리교육,0,,,,,,,,,,,,
,,,,,,,,,보조기기 점검교육,0,,,,,,,,,,,,
,,,,,,,,,기타,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,○ 장애인보조기기 교부사업 현황 조사,,,,,,,,,,,,,,
,,,,,,,,"맞춤형 
평가 건수",평가결과,,,,,,,,,,,,,
,,,,,,,,,적합,품목변경,부적합,기타,,,,,,,,,,
,,,,,,,,52,33,1,5,13,"취소:10
추가:3",,,,,,,,,